country,commodity,year,consumption,ending_stocks,exports,imports,production,yield,trade_balance,self_sufficiency,self_sufficiency_capped
Argentina,Pigmeat,2033,996.5823,0.0,9.0635,14.2634,991.3824,,-5.199900000000001,0.9947822673551396,0.9947822673551396
Argentina,Pigmeat,2034,1012.0914,0.0,9.0246,14.3249,1006.7911,,-5.3003,0.9947630223910607,0.9947630223910607
Argentina,Poultry meat,2025,2165.8632,0.0,226.6757,5.9345,2386.6045,,220.7412,1.1019183944766227,1.1019183944766227
Argentina,Poultry meat,2026,2214.582,0.0,245.0205,6.0392,2453.5633,,238.9813,1.1079125993076797,1.1079125993076797
Argentina,Poultry meat,2027,2286.0384,0.0,248.2321,6.0317,2528.2387,,242.2004,1.1059476078792028,1.1059476078792028
Argentina,Poultry meat,2028,2359.0604,0.0,249.6116,6.0687,2602.6032,,243.5429,1.1032372041004121,1.1032372041004121
Argentina,Poultry meat,2029,2384.8464,0.0,248.8795,6.0848,2627.6411,,242.7947,1.1018072694325303,1.1018072694325303
Argentina,Poultry meat,2030,2411.562,0.0,247.5353,6.0918,2653.0055,,241.4435,1.1001191344033454,1.1001191344033454
Argentina,Poultry meat,2031,2439.0132,0.0,245.2845,6.0969,2678.2007,,239.1876,1.0980673249328867,1.0980673249328867
Argentina,Poultry meat,2032,2465.8965,0.0,243.7631,6.0839,2703.5756,,237.6792,1.0963864866185584,1.0963864866185584
Argentina,Poultry meat,2033,2492.9426,0.0,241.8727,6.08,2728.7352,,235.7927,1.0945840469812664,1.0945840469812664
Argentina,Poultry meat,2034,2520.1437,0.0,240.3607,6.0665,2754.4379,,234.29420000000002,1.0929685874658654,1.0929685874658654
Argentina,Raw cane or beet sugar,2025,0.0,0.0,45.4718,0.0,0.0,,45.4718,,
Argentina,Raw cane or beet sugar,2026,0.0,0.0,49.3053,0.0,0.0,,49.3053,,
Argentina,Raw cane or beet sugar,2027,0.0,0.0,53.359,0.0,0.0,,53.359,,
Argentina,Raw cane or beet sugar,2028,0.0,0.0,57.283,0.0,0.0,,57.283,,
Argentina,Raw cane or beet sugar,2029,0.0,0.0,60.9041,0.0,0.0,,60.9041,,
Argentina,Raw cane or beet sugar,2030,0.0,0.0,65.1208,0.0,0.0,,65.1208,,
Argentina,Raw cane or beet sugar,2031,0.0,0.0,69.6402,0.0,0.0,,69.6402,,
Argentina,Raw cane or beet sugar,2032,0.0,0.0,73.9788,0.0,0.0,,73.9788,,
Argentina,Raw cane or beet sugar,2033,0.0,0.0,78.1257,0.0,0.0,,78.1257,,
Argentina,Raw cane or beet sugar,2034,0.0,0.0,82.1547,0.0,0.0,,82.1547,,
Argentina,Raw milk from bovine animals,2025,0.0,0.0,0.0,0.0,11317.4239,6.6233,0.0,,
Argentina,Raw milk from bovine animals,2026,0.0,0.0,0.0,0.0,11437.5804,6.7007,0.0,,
Argentina,Raw milk from bovine animals,2027,0.0,0.0,0.0,0.0,11556.2548,6.7766,0.0,,
Argentina,Raw milk from bovine animals,2028,0.0,0.0,0.0,0.0,11669.9838,6.8499,0.0,,
Argentina,Raw milk from bovine animals,2029,0.0,0.0,0.0,0.0,11787.6857,6.9259,0.0,,
Argentina,Raw milk from bovine animals,2030,0.0,0.0,0.0,0.0,11905.4196,7.0017,0.0,,
Argentina,Raw milk from bovine animals,2031,0.0,0.0,0.0,0.0,12019.6156,7.0757,0.0,,
Argentina,Raw milk from bovine animals,2032,0.0,0.0,0.0,0.0,12135.6401,7.1513,0.0,,
Argentina,Raw milk from bovine animals,2033,0.0,0.0,0.0,0.0,12250.9347,7.2268,0.0,,
Argentina,Raw milk from bovine animals,2034,0.0,0.0,0.0,0.0,12367.6078,7.3032,0.0,,
Argentina,Rice,2025,556.2789,60.0735,356.9156,1.9977,911.2702,4.6332,354.9179,1.638153451443152,1.638153451443152
Argentina,Rice,2026,559.997,60.1223,351.1359,1.9887,909.193,4.6378,349.1472,1.6235676262551408,1.6235676262551408
Argentina,Rice,2027,563.7887,60.0785,344.921,1.9821,906.6838,4.6424,342.9389,1.6081978939982304,1.6081978939982304
Argentina,Rice,2028,567.4611,59.9769,336.2529,1.9898,901.6227,4.6471,334.2631,1.5888713781438057,1.5888713781438057
Argentina,Rice,2029,571.1047,59.8972,327.7832,1.9968,896.8114,4.6517,325.7864,1.5703099624289558,1.5703099624289558
Argentina,Rice,2030,574.7719,59.8871,320.559,1.9965,893.3243,4.6564,318.5625,1.5542240321769385,1.5542240321769385
Argentina,Rice,2031,578.4764,59.9206,314.1209,1.9914,890.6393,4.661,312.1295,1.5396294472860086,1.5396294472860086
Argentina,Rice,2032,582.1274,59.9603,307.5948,1.9868,887.7751,4.6657,305.608,1.5250529351478732,1.5250529351478732
Argentina,Rice,2033,585.8031,59.9744,300.7239,1.9844,884.5567,4.6704,298.7395,1.5099897900847572,1.5099897900847572
Argentina,Rice,2034,589.4345,59.9773,293.6807,1.9832,881.135,4.675,291.6975,1.4948819588945,1.4948819588945
Argentina,Soya beans,2025,38834.7854,11792.7658,15919.7005,5559.2822,49487.9696,2.8235,10360.418300000001,1.2743206661314523,1.2743206661314523
Argentina,Soya beans,2026,39741.116,11531.6,16065.3748,5328.0967,50217.2282,2.8331,10737.2781,1.2636089082148572,1.2636089082148572
Argentina,Soya beans,2027,40603.5161,11394.3766,15890.981,5141.6513,51215.6223,2.8505,10749.329699999998,1.2613592914924923,1.2613592914924923
Argentina,Soya beans,2028,41449.785,11357.7934,15472.1926,4935.48,51949.9144,2.8747,10536.7126,1.2533216855045206,1.2533216855045206
Argentina,Soya beans,2029,42318.2088,11413.9703,15032.0494,4732.8551,52673.58,2.8961,10299.1943,1.2447024931735768,1.2447024931735768
Argentina,Soya beans,2030,43204.9249,11460.0691,14635.5913,4525.5819,53361.0332,2.9162,10110.009399999999,1.23506830120656,1.23506830120656
Argentina,Soya beans,2031,44578.214,11444.8747,13781.8783,4314.5672,54030.3307,2.9359,9467.311099999999,1.2120344413080344,1.2120344413080344
Argentina,Soya beans,2032,45460.1767,11459.9129,13364.6868,4111.6011,54728.3005,2.9565,9253.0857,1.2038734662463375,1.2038734662463375
Argentina,Soya beans,2033,46267.4139,11474.0275,13045.2142,3908.3331,55418.4096,2.977,9136.8811,1.1977848971584728,1.1977848971584728
Argentina,Soya beans,2034,47084.7332,11482.343,12715.4047,3707.1364,56101.3171,2.997,9008.2683,1.1914969733756502,1.1914969733756502
Argentina,Wheat,2025,6680.7482,2901.9416,11753.5098,3.0019,18333.1977,2.8829,11750.5079,2.744183308689886,2.744183308689886
Argentina,Wheat,2026,6731.0559,2794.324,12101.2837,2.9815,18721.7405,2.9065,12098.3022,2.7813972693348155,2.7813972693348155
Argentina,Wheat,2027,6776.1957,2621.4942,12442.8248,2.9647,19043.226,2.9305,12439.8601,2.8103122818604542,2.8103122818604542
Argentina,Wheat,2028,6822.1023,2478.2559,12754.4471,2.9566,19430.3546,2.9588,12751.4905,2.848147645044842,2.848147645044842
Argentina,Wheat,2029,6869.2867,2356.0406,13056.5579,2.952,19800.6773,2.9868,13053.6059,2.8824939422021796,2.8824939422021796
Argentina,Wheat,2030,6915.2263,2230.6337,13340.5071,2.9525,20127.374,3.0138,13337.554600000001,2.910587900789306,2.910587900789306
Argentina,Wheat,2031,6960.2252,2229.1058,13475.6258,2.9571,20431.3659,3.0412,13472.6687,2.93544609734754,2.93544609734754
Argentina,Wheat,2032,7010.5471,2225.6072,13722.9153,2.9658,20726.998,3.0688,13719.9495,2.9565450034562923,2.9565450034562923
Argentina,Wheat,2033,7062.3571,2223.8847,13998.0567,2.9691,21055.7223,3.0965,13995.087599999999,2.9814015351900007,2.9814015351900007
Argentina,Wheat,2034,7115.1225,2225.4617,14296.3031,2.9684,21410.0342,3.1246,14293.3347,3.0090886277783686,3.0090886277783686
Australia,Beef and veal,2025,581.3713,0.005,2188.2789,32.777,2736.878,,2155.5018999999998,4.707624886195792,4.707624886195792
Australia,Beef and veal,2026,592.5204,0.005,2019.4342,32.777,2579.1775,,1986.6571999999999,4.352892322357171,4.352892322357171
Australia,Beef and veal,2027,603.9035,0.005,1795.1405,32.777,2366.2669,,1762.3635,3.9182864480831787,3.9182864480831787
Australia,Beef and veal,2028,612.0757,0.005,1925.978,32.777,2505.2767,,1893.201,4.093083094133617,4.093083094133617
Australia,Beef and veal,2029,620.6215,0.005,2137.1871,32.777,2725.0316,,2104.4101,4.390810824310791,4.390810824310791
Australia,Beef and veal,2030,621.4398,0.005,2173.043,32.777,2761.7058,,2140.266,4.444043976584699,4.444043976584699
Australia,Beef and veal,2031,622.6563,0.005,2210.6937,32.777,2800.5729,,2177.9166999999998,4.497782966300992,4.497782966300992
Australia,Beef and veal,2032,624.1483,0.005,2246.9672,32.777,2838.3386,,2214.1902,4.547538782049075,4.547538782049075
Australia,Beef and veal,2033,625.8211,0.005,2272.3067,32.777,2865.3508,,2239.5297,4.578546169184772,4.578546169184772
Australia,Beef and veal,2034,627.1565,0.005,2285.1675,32.777,2879.547,,2252.3905,4.591432919853338,4.591432919853338
Australia,"Cheese, fresh or processed",2025,339.8112,67.0,151.7888,101.6801,389.9198,,50.10870000000001,1.1474601190308031,1.1474601190308031
Australia,"Cheese, fresh or processed",2026,342.2649,67.0,149.5794,102.1209,389.7234,,47.45849999999999,1.1386601430646264,1.1386601430646264
Australia,"Cheese, fresh or processed",2027,341.9292,67.0,151.0334,102.5327,390.4299,,48.500699999999995,1.1418442765344405,1.1418442765344405
Australia,"Cheese, fresh or processed",2028,343.4029,67.0,151.5929,102.9282,392.0677,,48.66469999999998,1.1417134217561937,1.1417134217561937
Australia,"Cheese, fresh or processed",2029,348.2667,67.0,151.8903,103.4282,396.7288,,48.46209999999999,1.1391522646293772,1.1391522646293772
Australia,"Cheese, fresh or processed",2030,353.1094,67.0,152.2197,103.9282,401.401,,48.291499999999985,1.136761015141483,1.136761015141483
Australia,"Cheese, fresh or processed",2031,358.0187,67.0,152.3557,104.4282,405.9462,,47.92750000000001,1.1338687057407895,1.1338687057407895
Australia,"Cheese, fresh or processed",2032,362.9248,67.0,152.2627,104.9282,410.2592,,47.33449999999999,1.130424815278537,1.130424815278537
Australia,"Cheese, fresh or processed",2033,367.8515,67.0,152.0486,105.4282,414.472,,46.62039999999999,1.1267372839311516,1.1267372839311516
Australia,"Cheese, fresh or processed",2034,372.8158,67.0,151.811,105.9282,418.6986,,45.8828,1.1230709642670722,1.1230709642670722
Australia,Maize (corn),2025,282.7898,30.0377,73.8539,4.12,352.4721,7.5271,69.73389999999999,1.24641023120353,1.24641023120353
Australia,Maize (corn),2026,284.5066,30.1356,73.3609,4.12,353.8454,7.5626,69.2409,1.2437159630040218,1.2437159630040218
Australia,Maize (corn),2027,286.8342,29.9448,72.9311,4.12,355.4545,7.6007,68.8111,1.2392333271276577,1.2392333271276577
Australia,Maize (corn),2028,288.9432,29.9415,72.6386,4.12,357.4586,7.6425,68.51859999999999,1.237124112974453,1.237124112974453
Australia,Maize (corn),2029,291.1163,29.8981,72.7623,4.12,359.7152,7.6843,68.64229999999999,1.235640876172169,1.235640876172169
Australia,Maize (corn),2030,293.2119,29.9223,72.9113,4.12,362.0274,7.7259,68.79129999999999,1.2346954540385298,1.2346954540385298
Australia,Maize (corn),2031,295.5119,29.9356,72.9219,4.12,364.3272,7.7672,68.80189999999999,1.2328681180013392,1.2328681180013392
Australia,Maize (corn),2032,297.875,30.023,72.7831,4.12,366.6255,7.8086,68.6631,1.2308031892572386,1.2308031892572386
Australia,Maize (corn),2033,300.1262,30.0516,72.7742,4.12,368.8091,7.8492,68.65419999999999,1.2288467318081528,1.2288467318081528
Australia,Maize (corn),2034,302.1975,30.08,72.8999,4.12,371.0057,7.8901,68.7799,1.2276928167837258,1.2276928167837258
Australia,Pigmeat,2025,754.1688,0.0001,66.0755,314.0525,506.1918,,-247.977,0.6711916483418566,0.6711916483418566
Australia,Pigmeat,2026,760.8856,0.0001,66.5365,317.5245,509.8976,,-250.988,0.670137008769781,0.670137008769781
Australia,Pigmeat,2027,754.8299,0.0001,67.0025,319.5155,502.3169,,-252.51299999999998,0.6654703264934259,0.6654703264934259
Australia,Pigmeat,2028,751.4038,0.0001,67.4725,322.7492,496.1271,,-255.27669999999998,0.6602669563289405,0.6602669563289405
Australia,Pigmeat,2029,765.974,0.0001,67.4725,326.5483,506.8982,,-259.07579999999996,0.661769459537791,0.661769459537791
Australia,Pigmeat,2030,775.0137,0.0001,67.4725,330.2619,512.2243,,-262.7894,0.6609228972339457,0.6609228972339457
Australia,Pigmeat,2031,783.5951,0.0001,67.4725,333.932,517.1357,,-266.45950000000005,0.6599526975092112,0.6599526975092112
Australia,Pigmeat,2032,792.3597,0.0001,67.4725,337.5143,522.3179,,-270.04179999999997,0.6591929145311152,0.6591929145311152
Australia,Pigmeat,2033,801.1018,0.0001,67.4725,341.0294,527.5449,,-273.55690000000004,0.6585241725833096,0.6585241725833096
Australia,Pigmeat,2034,810.0555,0.0001,67.4725,344.6384,532.8897,,-277.16589999999997,0.6578434440603143,0.6578434440603143
Australia,Poultry meat,2025,1512.8623,0.0,54.2619,4.9289,1562.1953,,49.333,1.0326090484243016,1.0326090484243016
Australia,Poultry meat,2026,1504.7046,0.0,53.3403,4.9289,1553.116,,48.4114,1.032173358146177,1.032173358146177
Australia,Poultry meat,2027,1496.5388,0.0,53.3348,4.9289,1544.9447,,48.4059,1.0323452355528637,1.0323452355528637
Australia,Poultry meat,2028,1533.2353,0.0,53.0777,4.9289,1581.3841,,48.1488,1.0314033990738407,1.0314033990738407
Australia,Poultry meat,2029,1547.2144,0.0,53.3321,4.9289,1595.6175,,48.4032,1.0312840288973526,1.0312840288973526
Australia,Poultry meat,2030,1568.2707,0.0,53.3328,4.9289,1616.6746,,48.4039,1.0308645057259567,1.0308645057259567
Australia,Poultry meat,2031,1589.2592,0.0,53.3349,4.9289,1637.6652,,48.406,1.030458216004035,1.030458216004035
Australia,Poultry meat,2032,1610.3377,0.0,53.3128,4.9289,1658.7216,,48.383900000000004,1.030045809646014,1.030045809646014
Australia,Poultry meat,2033,1631.3365,0.0,53.1752,4.9289,1679.5828,,48.2463,1.0295747076093742,1.0295747076093742
Australia,Poultry meat,2034,1652.4897,0.0,53.1076,4.9289,1700.6684,,48.1787,1.0291552195453926,1.0291552195453926
Australia,Raw cane or beet sugar,2025,0.0,0.0,2769.7876,0.0,0.0,,2769.7876,,
Australia,Raw cane or beet sugar,2026,0.0,0.0,2782.9675,0.0,0.0,,2782.9675,,
Australia,Raw cane or beet sugar,2027,0.0,0.0,2829.7467,0.0,0.0,,2829.7467,,
Australia,Raw cane or beet sugar,2028,0.0,0.0,2876.5002,0.0,0.0,,2876.5002,,
Australia,Raw cane or beet sugar,2029,0.0,0.0,2915.0567,0.0,0.0,,2915.0567,,
Australia,Raw cane or beet sugar,2030,0.0,0.0,2956.1772,0.0,0.0,,2956.1772,,
Australia,Raw cane or beet sugar,2031,0.0,0.0,2964.2133,0.0,0.0,,2964.2133,,
Australia,Raw cane or beet sugar,2032,0.0,0.0,2972.9416,0.0,0.0,,2972.9416,,
Australia,Raw cane or beet sugar,2033,0.0,0.0,2986.1779,0.0,0.0,,2986.1779,,
Australia,Raw cane or beet sugar,2034,0.0,0.0,2999.0531,0.0,0.0,,2999.0531,,
Australia,Raw milk from bovine animals,2025,0.0,0.0,0.0,0.0,8617.762,6.5989,0.0,,
Australia,Raw milk from bovine animals,2026,0.0,0.0,0.0,0.0,8590.7398,6.6358,0.0,,
Australia,Raw milk from bovine animals,2027,0.0,0.0,0.0,0.0,8733.8324,6.6761,0.0,,
Australia,Raw milk from bovine animals,2028,0.0,0.0,0.0,0.0,8851.3496,6.7173,0.0,,
Australia,Raw milk from bovine animals,2029,0.0,0.0,0.0,0.0,8823.3914,6.7422,0.0,,
Australia,Raw milk from bovine animals,2030,0.0,0.0,0.0,0.0,8839.395,6.7677,0.0,,
Australia,Raw milk from bovine animals,2031,0.0,0.0,0.0,0.0,8862.9928,6.7915,0.0,,
Australia,Raw milk from bovine animals,2032,0.0,0.0,0.0,0.0,8888.9577,6.8149,0.0,,
Australia,Raw milk from bovine animals,2033,0.0,0.0,0.0,0.0,8913.8315,6.8394,0.0,,
Australia,Raw milk from bovine animals,2034,0.0,0.0,0.0,0.0,8937.0234,6.8638,0.0,,
Australia,Rice,2025,467.9225,544.7946,86.1445,250.9218,333.1453,6.8993,-164.7773,0.7119668321142925,0.7119668321142925
Australia,Rice,2026,448.6167,544.7946,138.1972,247.6123,339.2015,6.9448,-109.4151,0.7561053790462995,0.7561053790462995
Australia,Rice,2027,448.9203,544.7946,140.4085,244.3034,345.0253,6.9903,-103.8949,0.7685669371601151,0.7685669371601151
Australia,Rice,2028,449.1408,544.7946,142.3971,241.1999,350.3381,7.0362,-98.80280000000002,0.7800184262930466,0.7800184262930466
Australia,Rice,2029,449.4267,544.7946,144.8246,238.1453,356.106,7.0823,-93.32069999999999,0.7923561283742154,0.7923561283742154
Australia,Rice,2030,449.6622,544.7946,147.0914,235.0161,361.7376,7.1285,-87.9247,0.804465218557397,0.804465218557397
Australia,Rice,2031,450.1779,544.7946,149.351,231.7981,367.7308,7.1747,-82.4471,0.8168566249031771,0.8168566249031771
Australia,Rice,2032,450.5648,544.7946,151.6669,228.5745,373.6573,7.2209,-76.9076,0.8293086810154722,0.8293086810154722
Australia,Rice,2033,451.0447,544.7946,154.0131,225.3787,379.6791,7.2668,-71.3656,0.8417771010279026,0.8417771010279026
Australia,Rice,2034,451.6264,544.7946,156.2303,222.2092,385.6475,7.3128,-65.97890000000001,0.8539082303426018,0.8539082303426018
Australia,Soya beans,2025,86.4198,3.0,5.0204,1.5735,89.8668,2.6312,3.4469000000000003,1.0398866926329384,1.0398866926329384
Australia,Soya beans,2026,86.675,3.0,5.0204,1.3375,90.3579,2.6412,3.6829000000000005,1.0424909143351602,1.0424909143351602
Australia,Soya beans,2027,87.3146,3.0,5.0204,1.2988,91.0361,2.6512,3.7216000000000005,1.042621737945315,1.042621737945315
Australia,Soya beans,2028,87.9613,3.0,5.0204,1.3006,91.6811,2.6612,3.7198,1.042289052117238,1.042289052117238
Australia,Soya beans,2029,88.6426,3.0,5.0204,1.323,92.34,2.6712,3.6974000000000005,1.0417113216444465,1.0417113216444465
Australia,Soya beans,2030,89.2623,3.0,5.0204,1.3424,92.9403,2.6812,3.6780000000000004,1.0412044054432834,1.0412044054432834
Australia,Soya beans,2031,89.8799,3.0,5.0204,1.3217,93.5786,2.6912,3.6987000000000005,1.041151581165533,1.041151581165533
Australia,Soya beans,2032,90.5033,3.0,5.0204,1.3299,94.1938,2.7012,3.6905,1.0407775186098187,1.0407775186098187
Australia,Soya beans,2033,91.1559,3.0,5.0204,1.3509,94.8254,2.7112,3.6695,1.0402552111273105,1.0402552111273105
Australia,Soya beans,2034,91.7874,3.0,5.0204,1.3608,95.447,2.7212,3.6596,1.039870396154592,1.039870396154592
Australia,Wheat,2025,8761.4046,4752.0754,20297.468,28.5257,28997.4658,2.2112,20268.942300000002,3.3096823082454154,3.3096823082454154
Australia,Wheat,2026,8835.8955,4691.7975,20518.4024,28.4613,29265.5587,2.2257,20489.9411,3.3121214142924167,3.3121214142924167
Australia,Wheat,2027,8896.1493,4525.7296,20858.0882,28.3248,29559.8448,2.2404,20829.7634,3.322768515137218,3.322768515137218
Australia,Wheat,2028,8960.1134,4395.8124,21149.9763,28.2306,29951.9418,2.2583,21121.7457,3.342808339903377,3.342808339903377
Australia,Wheat,2029,9028.1101,4325.2429,21438.7956,28.2315,30368.1048,2.2757,21410.5641,3.3637277861731,3.3637277861731
Australia,Wheat,2030,9095.9242,4264.2416,21738.3009,28.2799,30744.9439,2.2921,21710.020999999997,3.380079167766152,3.380079167766152
Australia,Wheat,2031,9167.503,4194.4428,22036.2461,28.294,31105.6563,2.3086,22007.9521,3.393034755483581,3.393034755483581
Australia,Wheat,2032,9242.4061,4123.4707,22317.7276,28.358,31460.8036,2.3252,22289.369599999998,3.4039624811552045,3.4039624811552045
Australia,Wheat,2033,9313.7595,4044.8687,22610.2505,28.3928,31817.0153,2.3415,22581.857699999997,3.416130221099224,3.416130221099224
Australia,Wheat,2034,9378.9767,3961.1341,22909.977,28.4328,32176.7862,2.3579,22881.5442,3.430735274137103,3.430735274137103
Brazil,Beef and veal,2025,5814.2302,20.0,3446.9987,62.1258,9199.1031,,3384.8729000000003,1.582170430747651,1.582170430747651
Brazil,Beef and veal,2026,6096.8321,20.0,3072.6894,62.1258,9107.3958,,3010.5636000000004,1.4937914724599355,1.4937914724599355
Brazil,Beef and veal,2027,6161.8967,20.0,3059.2799,62.1258,9159.0509,,2997.1541,1.4864012407088876,1.4864012407088876
Brazil,Beef and veal,2028,6170.8071,20.0,3102.3135,62.1258,9210.9948,,3040.1877000000004,1.492672619761522,1.492672619761522
Brazil,Beef and veal,2029,6159.1948,20.0,3145.5399,62.1258,9242.6089,,3083.4141000000004,1.5006196751562395,1.5006196751562395
Brazil,Beef and veal,2030,6114.7655,20.0,3209.2265,62.1258,9261.8662,,3147.1007000000004,1.514672345161887,1.514672345161887
Brazil,Beef and veal,2031,6100.9342,20.0,3263.958,62.1258,9302.7664,,3201.8322000000003,1.5248101512060237,1.5248101512060237
Brazil,Beef and veal,2032,6116.4672,20.0,3302.519,62.1258,9356.8604,,3240.3932,1.5297818322315206,1.5297818322315206
Brazil,Beef and veal,2033,6147.8737,20.0,3310.7649,62.1258,9396.5128,,3248.6391000000003,1.528416694702105,1.528416694702105
Brazil,Beef and veal,2034,6148.3365,20.0,3325.9917,62.1258,9412.2025,,3263.8659000000002,1.5308535080993044,1.5308535080993044
Brazil,"Cheese, fresh or processed",2025,849.5199,0.0,5.3375,65.8989,788.9586,,-60.5614,0.9287111461426625,0.9287111461426625
Brazil,"Cheese, fresh or processed",2026,866.4108,0.0,5.8345,68.4381,803.8073,,-62.60360000000001,0.9277438600719198,0.9277438600719198
Brazil,"Cheese, fresh or processed",2027,885.2464,0.0,5.7341,70.3609,820.6195,,-64.6268,0.9269955799876736,0.9269955799876736
Brazil,"Cheese, fresh or processed",2028,903.958,0.0,5.7687,72.7872,836.9395,,-67.0185,0.9258610466415474,0.9258610466415474
Brazil,"Cheese, fresh or processed",2029,923.4911,0.0,5.8477,75.1361,854.2027,,-69.2884,0.9249712314498755,0.9249712314498755
Brazil,"Cheese, fresh or processed",2030,943.8768,0.0,5.8434,77.8035,871.9167,,-71.9601,0.9237611306899375,0.9237611306899375
